"","entidad","anio","acceso_electrd","acceso_combust_limpios","cap_instald_energ_renov","finan_paises_desarr","energ_renov","electrd_fosiles","electrd_nuclear","electrd_de_energ_renov","electrd_de_f_bajas_carb","consumo_energ_prim","nivel_intens_energ_prim","emisiones_CO2","renovables","crecimiento_PIB","PIB_per_cap","densidad_pobl_Km2","superficie","latitud","longitud"
"778","Fiji",2000,75.72492,28.2,133.85,NA,50.06,0.18,0,0.44,70.96774,9308.956,2.75,810,NA,-1.699998416,2069.317455,49,18274,-17.713371,178.065032
"779","Fiji",2001,77.00068,28.15,133.42,NA,40.44,0.17,0,0.5,74.62686,9574.995,2.97,1040,NA,2.000000147,2030.246351,49,18274,-17.713371,178.065032
"780","Fiji",2002,79.63,28.2,133.24,NA,48.98,0.21,0,0.5,70.42254,8027.728,2.69,879.9999952,NA,3.199999114,2248.714191,49,18274,-17.713371,178.065032
"781","Fiji",2003,80,28.3,133.15,NA,40.83,0.31,0,0.41,56.944443,8717.398,2.79,1049.999952,NA,0.999999345,2818.91392,49,18274,-17.713371,178.065032
"782","Fiji",2004,80.79184,28.5,140.77,310000,35.72,0.31,0,0.44,58.666668,11433.929,3.27,1470.000029,NA,5.299999705,3311.159895,49,18274,-17.713371,178.065032
"783","Fiji",2005,82.05135,28.7,140.22,260000,40.02,0.37,0,0.42,53.164555,9695.102,2.72,1289.999962,NA,0.700000402,3627.632856,49,18274,-17.713371,178.065032
"784","Fiji",2006,83.31274,29.2,153.81,NA,39.07,0.39,0,0.45,53.57143,10524.99,2.91,1379.999995,NA,1.852483872,3715.932657,49,18274,-17.713371,178.065032
"785","Fiji",2007,88.9,29.6,164.45,50000,36.04,0.27,0,0.6,68.96552,10062.741,2.7,1259.99999,NA,-0.85065431,4040.152119,49,18274,-17.713371,178.065032
"786","Fiji",2008,86.16,30.2,173.35,NA,40.89,0.26,0,0.62,70.454544,7890.7285,2.15,970.0000286,NA,1.03279422,4167.694935,49,18274,-17.713371,178.065032
"787","Fiji",2009,87.134865,31,171.69,96070000,40.09,0.28,0,0.58,67.44186,6803.4795,1.93,970.0000286,NA,-1.386037708,3362.820495,49,18274,-17.713371,178.065032
"788","Fiji",2010,89.24858,31.9,170.56,NA,26.49,0.35,0,0.55,61.111115,9167.494,2.29,1159.999967,NA,2.954672422,3652.535933,49,18274,-17.713371,178.065032
"789","Fiji",2011,90.146126,33.2,169.88,10000,31.15,0.3,0,0.56,65.11628,7085.0757,2.23,1110.000014,NA,2.705143029,4371.447385,49,18274,-17.713371,178.065032
"790","Fiji",2012,91.07083,34.5,221.18,110000,31.73,0.24,0,0.62,72.093025,7121.2935,2.11,1029.999971,NA,1.411314382,4591.577015,49,18274,-17.713371,178.065032
"791","Fiji",2013,91.75,36.6,220.53,4710000,32.81,0.27,0,0.61,69.318184,7502.866,2.19,1129.999995,NA,4.73421949,4840.72727,49,18274,-17.713371,178.065032
"792","Fiji",2014,93.786606,38.1,220.93,6670000,33.17,0.38,0,0.53,58.241753,7886.4253,2.33,1289.999962,NA,5.603514887,5605.609148,49,18274,-17.713371,178.065032
"793","Fiji",2015,95.16824,40.3,222.02,1700000,32.74,0.43,0,0.53,55.208332,8231.743,2.3,1379.999995,NA,4.501199392,5390.714207,49,18274,-17.713371,178.065032
"794","Fiji",2016,96.561745,42.4,223.35,180000,27.68,0.36,0,0.6,62.500004,8094.5083,2.01,1519.999981,NA,2.445652008,5651.272721,49,18274,-17.713371,178.065032
"795","Fiji",2017,96,44.6,238.59,50000,28.55,0.41,0,0.64,60.952385,8787.309,2.15,1649.999976,NA,5.353364937,6101.02389,49,18274,-17.713371,178.065032
"796","Fiji",2018,99.372505,46.7,239.61,5620000,25.8,0.38,0,0.71,65.13761,9316.589,2.12,1629.999995,NA,3.81235097,6317.41372,49,18274,-17.713371,178.065032
"797","Fiji",2019,99.71588,49.4,237.93,110000,26.48,0.42,0,0.71,62.83186,9417.632,2.15,1629.999995,NA,-0.445563044,6175.890653,49,18274,-17.713371,178.065032
"798","Fiji",2020,100,51.4,236.38,NA,NA,0.4,0,0.7,63.636364,9030.606,NA,NA,NA,-15.71180398,5057.631913,49,18274,-17.713371,178.065032
"106","Australia",2000,100,100,NA,NA,8.42,181.05,0,17.11,8.634437,68632.96,6.16,339450,3.9888778,3.912427733,21697.70848,3,7741220,-25.274398,133.775136
